,Unnamed: 0,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid
1558,1558,OD120521626505129000,G6M2R14,19-12-2020 00:00,Uttar Pradesh,Banda,Home & Kitchen,Home Appliances,4.1,1,1049,1049,18%,Tier 3,0,0,Orpat,No,No
1559,1559,OD121594213846810000,G6M2R14,22-04-2021 00:00,Uttar Pradesh,Banda,Home Furnishing,Curtains & Accessories,4.2,1,449,449,5%,Tier 3,9,9,Home,No,2nd Wave
1560,1560,OD121644049680437000,G6M2R14,28-04-2021 00:00,Uttar Pradesh,Banda,Wearable Smart Devices,Smart Bands,4.3,1,2499,2499,18%,Tier 3,0,0,OnePlus,No,2nd Wave
1561,1561,OD121851383975848000,G6M2R14,22-05-2021 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Sarees and Saree Essentials,3.8,1,266,252,5%,Tier 3,21,16,Anand,No,2nd Wave
1562,1562,OD121851495126830000,G6M2R14,22-05-2021 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Sarees and Saree Essentials,3.9,1,375,356,5%,Tier 3,16,11,vaamsi,No,2nd Wave
1563,1563,OD121793571309966000,G6M2R14,15-05-2021 00:00,Uttar Pradesh,Banda,Clothing and Accessories,Sarees and Saree Essentials,3.4,1,299,284,5%,Tier 3,19,14,Anand,No,2nd Wave
1564,1564,OD121982209823786000,G6M2R14,06-06-2021 00:00,Uttar Pradesh,Banda,"Kitchen, Cookware & Serveware",Cookware,3.5,1,260,260,12%,Tier 3,0,0,Kitchen,No,No
1565,1565,OD222502622600841000,G6M2R14,08-05-2021 00:00,Uttar Pradesh,Banda,"Kitchen, Cookware & Serveware",Cookware,4.3,1,1313,1247,12%,Tier 3,6,0,Prestige,No,2nd Wave
1566,1566,OD222508713421419000,G6M2R14,08-06-2021 00:00,Uttar Pradesh,Banda,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.2,1,719,647,5%,Tier 3,11,0,ARMAAN,No,No
1567,1567,OD222508720424921000,G6M2R14,08-06-2021 00:00,Uttar Pradesh,Banda,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4,1,286,286,5%,Tier 3,0,0,MAAN,No,No
1568,1568,OD222287848793772000,G6M2R15,07-11-2020 00:00,Haryana,Gurugram,Footwear,Women's Footwear,4.8,1,320,320,5%,Tier_2,0,0,Forever,No,No
1569,1569,OD222287869380181000,G6M2R15,07-11-2020 00:00,Haryana,Gurugram,Computers,Computer Peripherals,4.2,1,229,194,5%,Tier_2,33,18,Syska,No,No
1570,1570,OD121268350703672000,G6M2R15,15-03-2021 00:00,Delhi,New Delhi,"Bags, Wallets & Belts",Handbags & Clutches,4.3,1,299,299,12%,Tier_1,0,0,Exotic,No,No
1571,1571,OD121458095250474000,G6M2R15,04-06-2021 00:00,Delhi,New Delhi,"Kitchen, Cookware & Serveware","Lunch Boxes, Bottles and Flasks",3.3,1,179,161,12%,Tier_1,11,0,Familia,No,No
1572,1572,OD120081183708618000,G6M2R15,29-10-2020 00:00,Uttar Pradesh,Hamirpur,Mobiles & Accessories,Mobiles,3.7,1,11999,10999,18%,Tier_2,9,0,Realme,No,1st Wave
1573,1573,OD222753959297767000,G6M3R01,09-03-2021 00:00,Madhya Pradesh,UdaiPur,Audio & Video,Headphones,4.2,1,1399,1399,18%,Tier 3,0,0,boAt,No,No
1574,1574,OD222388922490556000,G6M3R01,23-07-2021 00:00,Madhya Pradesh,UdaiPur,Computers,Laptop Accessories,3.7,1,299,299,5%,Tier 3,0,0,FineArts,No,No
1575,1575,OD222166812270824000,G6M3R01,27-06-2021 00:00,Madhya Pradesh,UdaiPur,Pens & Stationery,Pens & Stationery,4.3,1,359,359,12%,Tier 3,0,0,PARKER,Yes,No
1576,1576,OD222042130890102000,G6M3R01,13-06-2021 00:00,Madhya Pradesh,UdaiPur,Health Care,Beauty and Grooming,4.4,1,193,193,18%,Tier 3,0,0,HIMALAYA,No,No
1577,1577,OD222062895468133000,G6M3R01,15-06-2021 00:00,Madhya Pradesh,UdaiPur,Pens & Stationery,Pens & Stationery,4.5,1,108,108,12%,Tier 3,0,0,cello,Yes,No
1578,1578,OD222001063896158000,G6M3R01,06-08-2021 00:00,Madhya Pradesh,UdaiPur,Health Care,Beauty and Grooming,4.4,1,225,225,18%,Tier 3,0,0,HIMALAYA,Yes,No
1579,1579,OD221998100408310000,G6M3R01,06-09-2021 00:00,Madhya Pradesh,UdaiPur,Home Decor,Stickers & Wallpapers,4.2,1,169,169,18%,Tier 3,0,0,WallBerry,No,No
1580,1580,OD219970701953710000,G6M3R01,06-08-2021 00:00,Madhya Pradesh,UdaiPur,Baby Care,"Baby Bath, Hair & Skin Care",4.3,1,242,202,18%,Tier 3,17,0,HIMALAYA,Yes,No
1581,1581,OD111275759576017000,G6M3R02,14-01-2020 00:00,Madhya Pradesh,Chhindwara,Mobiles & Accessories,Mobiles,3.7,1,15729,15729,12%,Tier 3,0,0,Moto,No,No
1582,1582,OD119977632866989000,G6M3R02,17-10-2020 00:00,Madhya Pradesh,Chhindwara,Audio & Video,Headphones,4.2,1,449,404,18%,Tier 3,11,0,boAt,Yes,1st Wave
1583,1583,OD119977632866989000,G6M3R02,17-10-2020 00:00,Madhya Pradesh,Chhindwara,"Bags, Wallets & Belts",Wallets & Clutches,4.3,1,411,370,18%,Tier 3,10,0,Urban,Yes,1st Wave
1584,1584,OD119977632866989000,G6M3R02,17-10-2020 00:00,Madhya Pradesh,Chhindwara,Mobiles & Accessories,Mobiles,4.3,1,10499,8949,18%,Tier 3,15,0,POCO,Yes,1st Wave
1585,1585,OD119563091524980000,G6M3R02,30-08-2020 00:00,Madhya Pradesh,Chhindwara,Books,Books,4.4,1,428,458,0%,Tier 3,0,8,Reasoning,No,1st Wave
1586,1586,OD119394010136940000,G6M3R02,08-11-2020 00:00,Madhya Pradesh,Chhindwara,Books,Books,4.3,1,325,387,0%,Tier 3,0,20,Gate,No,No
